domain,ip
6a57jk2ba1d9keg15cbg.appsync-api.eu-west-1.avsvmcloud.com,
7sbvaemscs0mc925tb99.appsync-api.us-west-2.avsvmcloud.com,
gq1h856599gqh538acqn.appsync-api.us-west-2.avsvmcloud.com,
ihvpgv9psvq02ffo77et.appsync-api.us-east-2.avsvmcloud.com,
k5kcubuassl3alrf7gm3.appsync-api.eu-west-1.avsvmcloud.com,
mhdosoksaccf9sni9icp.appsync-api.eu-west-1.avsvmcloud.com,
deftsecurity.com,13.59.205.66
freescanonline.com,54.193.127.66
thedoccloud.com,54.215.192.52
websitetheme.com,34.203.203.23
highdatabase.com,139.99.115.204
incomeupdate.com,5.252.177.25
databasegalore.com,5.252.177.21
panhardware.com,204.188.205.176
zupertech.com,51.89.125.18
zupertech.com,167.114.213.199
freescanonline.com,
deftsecurity.com,
freescanonline.com,
thedoccloud.com,
thedoccloud.com,
thedoccloud.com,
,20.141.207.213
,20.141.207.34
,20.141.208.110
,20.141.208.220
,20.141.210.72
,20.141.211.185
,20.141.214.207
,20.141.214.244
,20.141.216.224
,20.141.218.137
,20.141.219.10
,20.141.219.12
,20.141.223.147
,20.141.223.161
,20.141.225.147
,20.141.225.37
,20.141.225.82
,20.141.227.158
,20.141.230.109
,20.141.230.134
,20.141.230.18
,20.141.231.120
,20.141.235.1
,20.141.236.236
,20.141.238.9
,20.141.240.169
,20.141.243.75
,20.141.245.250
,20.141.247.207
,20.141.25.180
,20.141.255.183
,20.141.255.41
,20.141.34.27
,20.141.34.98
,20.141.36.50
,20.141.40.176
,20.141.42.116
,20.141.42.89
,20.141.47.31
,20.141.48.63
,20.141.49.192
,20.141.51.22
,20.141.51.230
,20.141.52.223
,20.141.53.10
,20.141.55.22
,20.141.59.224
,20.141.59.57
,20.141.63.17
,20.141.64.21
,20.141.68.74
,20.141.69.131
,20.141.71.54
,20.141.72.37
,20.141.72.50
,20.141.73.28
,20.141.73.97
,20.141.74.151
,20.141.75.180
,20.141.80.1
,20.141.81.210
,20.141.82.242
,20.141.83.205
,20.141.90.48
,20.141.9.167
,20.141.92.85
,20.141.95.188
,20.141.95.77
,34.239.173.174
,41.84.159.10
,41.84.159.113
,41.84.159.123
,41.84.159.130
,41.84.159.170
,41.84.159.182
,41.84.159.195
,41.84.159.216
,41.84.159.222
,41.84.159.35
,41.84.159.49
,41.84.159.50
,41.84.159.54
,41.84.159.73
,41.84.159.88
,41.84.159.93
,41.84.159.97
,45.58.190.82
,50.63.202.33
,50.63.202.36
,50.63.202.39
,50.63.202.41
,50.63.202.49
,50.63.202.54
,50.63.202.56
,50.63.202.58
,52.170.43.150
,52.171.135.15
,52.171.141.69
,54.164.147.101
,64.32.22.101
,70.39.125.243
,71.152.53.1
,71.152.53.10
,71.152.53.104
,71.152.53.105
,71.152.53.11
,71.152.53.128
,71.152.53.129
,71.152.53.130
,71.152.53.131
,71.152.53.136
,71.152.53.137
,71.152.53.138
,71.152.53.139
,71.152.53.149
,71.152.53.150
,71.152.53.151
,71.152.53.156
,71.152.53.157
,71.152.53.158
,71.152.53.159
,71.152.53.160
,71.152.53.161
,71.152.53.162
,71.152.53.163
,71.152.53.168
,71.152.53.169
,71.152.53.170
,71.152.53.171
,71.152.53.180
,71.152.53.181
,71.152.53.182
,71.152.53.188
,71.152.53.189
,71.152.53.190
,71.152.53.191
,71.152.53.192
,71.152.53.194
,71.152.53.2
,71.152.53.200
,71.152.53.201
,71.152.53.202
,71.152.53.21
,71.152.53.22
,71.152.53.224
,71.152.53.23
,71.152.53.234
,71.152.53.29
,71.152.53.3
,71.152.53.30
,71.152.53.31
,71.152.53.32
,71.152.53.33
,71.152.53.34
,71.152.53.35
,71.152.53.40
,71.152.53.41
,71.152.53.42
,71.152.53.43
,71.152.53.52
,71.152.53.53
,71.152.53.54
,71.152.53.55
,71.152.53.60
,71.152.53.61
,71.152.53.62
